Catchment Information,,,,Reservoir Catchment Descriptors ,,,,,,,Signatures,,,,
Sample,Gauge ID,BFI,Gauge Area,Total Reservoir Catchment Area ,Upstream Reservoir Count,Upstream Capacity (Ml),Contributing Area (%) ,Use,Minimum Distance to Reservoir (m),Normalised Upstream Capacity (mm),WB,SFDC,LFV,E,SWRR
Reservoir,2001,0.47,553.1,136.2,1,34000,24.62,U,33.87,61.47,0.034,0.189,0.516,0.708,0.612
Reservoir,4001,0.57,962.5,755.2,7,524270,78.46,H,6.37,544.7,0.162,0.179,0.419,0.922,0.768
Reservoir,6007,0.61,1771,1724.8,13,8356096,97.39,H,7.75,4718.29,0.056,0.097,0.554,1.163,0.732
Reservoir,7003,0.53,217.4,14.4,1,1920,6.62,U,11.81,8.83,-0.056,0.133,0.666,1.006,0.566
Reservoir,7004,0.45,302.3,22.7,1,5455,7.51,U,41.5,18.04,-0.035,0.1,0.565,1.321,0.552
Reservoir,8002,0.55,1095,243.6,3,11280,22.25,H,31.52,10.3,-0.231,0.107,0.643,1.078,0.664
Reservoir,8005,0.59,1350,243.6,3,11280,18.04,H,49.13,8.36,-0.205,0.097,0.621,0.773,0.714
Reservoir,8006,0.6,2935.4,243.6,3,11280,8.3,H,123.52,3.84,-0.057,0.093,0.595,1.003,0.684
Reservoir,8010,0.59,1813.9,243.6,3,11280,13.43,H,63.28,6.22,-0.156,0.098,0.573,0.885,0.682
Reservoir,13007,0.51,747.2,59,1,2250,7.9,U,41.9,3.01,0.089,0.094,0.503,1.16,0.549
Reservoir,15003,0.64,3212.1,1748,12,523970,54.42,H,32.56,163.12,0.072,0.142,0.441,1.001,0.671
Reservoir,15006,0.65,4569.8,1806.7,15,564805,39.54,M,40.74,123.6,0.084,0.143,0.427,0.959,0.630
Reservoir,15007,0.63,1149.3,106.2,4,142090,9.24,H,8.78,123.63,0.002,0.101,0.42,1.017,0.701
Reservoir,15010,0.53,338.1,50.6,2,38838,14.97,WR,15.9,114.87,-0.001,0.109,0.542,0.978,0.550
Reservoir,15011,0.45,388.5,97.4,2,126040,25.07,H,36.51,324.43,-0.329,0.164,0.721,0.942,0.823
Reservoir,15012,0.63,1673.6,1641.8,8,381880,98.1,H,1.15,228.18,0.123,0.2,0.512,1.001,0.658
Reservoir,15016,0.65,597.4,4.3,1,13050,0.72,H,26.51,21.84,0.246,0.104,0.364,1.086,0.688
Reservoir,16001,0.5,589.6,177,3,82300,30.02,M,18.51,139.59,0.045,0.154,0.353,1.171,0.613
Reservoir,16004,0.52,783.9,177,3,82300,22.58,M,37.21,104.99,0.067,0.136,0.335,1.032,0.576
Reservoir,17001,0.35,142,14.4,1,21380,10.14,WR,16.29,150.56,-0.247,0.219,0.755,1.368,0.557
Reservoir,18002,0.53,179.6,62.3,3,12324,34.69,U,28.82,68.62,-0.091,0.135,0.555,0.836,0.614
Reservoir,18003,0.43,515.4,193.3,4,98936,37.5,WR,18.5,191.96,-0.052,0.161,0.675,1.334,0.661
Reservoir,18015,0.52,197.3,193.3,4,98936,97.97,WR,1.03,501.45,-0.267,0.443,0.905,1.502,0.613
Reservoir,19001,0.4,379.5,6.8,1,3802,1.79,U,29.17,10.02,0.035,0.16,0.594,1.167,0.520
Reservoir,19005,0.36,233,6.8,1,3802,2.92,U,15.42,16.32,0.011,0.151,0.63,1.351,0.526
Reservoir,19006,0.5,99,16.6,1,4087,16.77,U,26.02,41.28,0.042,0.159,0.531,0.977,0.537
Reservoir,19007,0.53,319.7,46,4,10628,14.39,WR,23.86,33.24,0.013,0.117,0.502,1.031,0.523
Reservoir,20001,0.53,307.3,3.5,1,1418,1.14,WR,26.39,4.61,0.026,0.115,0.503,1.139,0.459
Reservoir,20007,0.58,65.2,3.5,1,1418,5.37,WR,17.09,21.75,0.018,0.097,0.457,1.167,0.465
Reservoir,21003,0.55,698.7,55,3,26163,7.87,WR,29.46,37.45,-0.033,0.147,0.443,0.922,0.541
Reservoir,21005,0.55,377.2,45.8,2,23913,12.14,WR,24.42,63.4,-0.06,0.145,0.482,0.903,0.557
Reservoir,21006,0.51,1505.5,153.9,5,92753,10.22,WR,33.66,61.61,-0.001,0.133,0.472,0.716,0.556
Reservoir,21008,0.45,1122,22.9,1,2164,2.04,U,52.91,1.93,0.066,0.121,0.437,1.019,0.491
Reservoir,21009,0.52,4398.9,176.8,6,94917,4.02,WR,90.37,21.58,0.041,0.121,0.394,0.797,0.502
Reservoir,21011,0.47,232.5,98.9,2,66590,42.54,WR,23.42,286.41,-0.077,0.165,0.546,0.663,0.595
Reservoir,21014,0.45,138.7,45.8,2,23913,33.02,WR,6.52,172.41,-0.161,0.189,0.694,1.172,0.605
Reservoir,21018,0.58,174.8,9.2,1,2250,5.26,WR,22.81,12.87,0.014,0.139,0.447,1.036,0.509
Reservoir,21021,0.51,3346,176.8,6,94917,5.28,WR,64.64,28.37,0.022,0.13,0.392,1.031,0.510
Reservoir,21022,0.52,502.2,55,2,9991,10.95,WR,40.12,19.89,0.07,0.115,0.46,1.289,0.461
Reservoir,21034,0.49,116.2,98.9,2,66590,85.11,WR,2.34,573.06,-0.125,0.174,0.695,0.453,0.658
Reservoir,22007,0.37,283.1,30.4,1,3279,10.74,WR,18.57,11.58,0.055,0.145,0.353,1.281,0.357
Reservoir,23001,0.38,2173,256.8,6,222573,11.82,WR,32.61,102.43,0.062,0.12,0.488,1.089,0.522
Reservoir,23002,0.54,118.1,86.3,1,50060,73.07,WR,1.51,423.88,-0.327,0.335,0.865,0.896,0.705
Reservoir,23003,0.37,1013,236.7,2,209500,23.37,WR,38.15,206.81,0.079,0.125,0.395,0.765,0.559
Reservoir,23007,0.58,244,86.3,1,50060,35.37,WR,26.56,205.16,-0.092,0.217,0.642,1.309,0.561
Reservoir,23008,0.33,345.2,41.2,1,10500,11.94,WR,37.16,30.42,0.02,0.168,0.534,0.741,0.437
Reservoir,24001,0.43,661.1,44.8,3,10845,6.78,WR,41.82,16.4,0.065,0.169,0.532,0.803,0.464
Reservoir,24003,0.35,173.5,18.8,1,6438,10.84,WR,15.87,37.11,-0.103,0.156,0.641,1.33,0.517
Reservoir,24008,0.44,453.5,44.8,3,10845,9.88,WR,19.87,23.91,-0.049,0.155,0.508,1.148,0.486
Reservoir,24009,0.46,1004.9,44.8,3,10845,4.46,WR,72.36,10.79,0.078,0.175,0.533,1.195,0.471
Reservoir,25001,0.33,854.5,183,6,87922,21.42,WR,41,102.89,0.031,0.188,0.625,1.325,0.536
Reservoir,25009,0.38,1267.2,183,6,87922,14.44,WR,77.25,69.38,0.016,0.161,0.533,1.202,0.509
Reservoir,25018,0.42,241.9,57.8,1,40914,23.89,WR,19.89,169.14,0.061,0.176,0.754,0.908,0.744
Reservoir,27001,0.49,489.7,114.8,3,20617,23.44,WR,54.3,42.1,0.02,0.171,0.535,1.529,0.463
Reservoir,27002,0.39,758.5,121.8,8,51588,16.06,WR,24.08,68.01,0.028,0.149,0.641,1.043,0.568
Reservoir,27003,0.51,1936,39.6,7,18650,2.05,WR,68.81,9.63,0.105,0.177,0.596,1.166,0.566
Reservoir,27005,0.49,115.4,114.8,3,20617,99.48,WR,0.07,178.66,-0.102,0.287,0.677,1.157,0.491
Reservoir,27006,0.5,362.5,115.5,10,39197,31.86,WR,14.57,108.13,-0.098,0.174,0.674,1.303,0.531
Reservoir,27007,0.39,912.6,22.6,2,7283,2.48,WR,38.77,7.98,0.086,0.149,0.568,1.254,0.537
Reservoir,27009,0.44,3305.4,137.4,5,27900,4.16,WR,75.52,8.44,0.063,0.149,0.47,1.149,0.456
Reservoir,27021,0.56,1252.8,115.5,10,39197,9.22,WR,51.37,31.29,0.133,0.183,0.631,1.163,0.560
Reservoir,27028,0.49,686.9,16.2,3,1082,2.36,WR,32.41,1.58,0.135,0.171,0.578,1.18,0.571
Reservoir,27029,0.49,340.7,14.2,3,14308,4.17,WR,12.62,42,-0.016,0.196,0.659,0.902,0.571
Reservoir,27031,0.4,245.5,9.2,1,3260,3.75,WR,22.71,13.28,-0.1,0.146,0.623,1.618,0.480
Reservoir,27043,0.33,432,32.9,3,26552,7.62,WR,13.89,61.46,0.029,0.166,0.703,1.115,0.604
Reservoir,27053,0.45,219.2,114.8,3,20617,52.37,WR,16.39,94.05,-0.055,0.197,0.591,1.115,0.474
Reservoir,27062,0.49,520.7,114.8,3,20617,22.05,WR,65.86,39.59,0.033,0.178,0.504,1.289,0.454
Reservoir,27065,0.49,98.3,9.2,1,3260,9.36,WR,14.99,33.16,-0.076,0.175,0.583,1.223,0.527
Reservoir,28001,0.47,126.8,125.6,3,46260,99.05,WR,0.56,364.83,-0.286,0.383,0.907,2.06,0.454
Reservoir,28008,0.62,397.4,9.5,1,36000,2.39,WR,23.17,90.59,0.077,0.126,0.421,1.203,0.499
Reservoir,28009,0.64,7472,424,13,141905,5.67,WR,37.93,18.99,0.123,0.186,0.567,1.328,0.480
Reservoir,28012,0.7,1245.2,119.4,1,18200,9.59,WR,9.42,14.62,0.104,0.139,0.551,1.133,0.544
Reservoir,28018,0.6,879.6,38.1,2,42440,4.33,WR,54.66,48.25,0.061,0.117,0.451,1.029,0.474
Reservoir,28019,0.66,3069.2,165.1,2,20121,5.38,WR,28.49,6.56,0.24,0.144,0.643,1.29,0.578
Reservoir,28022,0.65,8212.5,424,13,141905,5.16,WR,80.02,17.28,0.127,0.164,0.542,1.643,0.476
Reservoir,28043,0.56,343.7,125.6,3,46260,36.54,WR,23.6,134.59,-0.075,0.171,0.551,1.82,0.487
Reservoir,28048,0.51,128.9,27.8,1,6180,21.57,WR,9.89,47.94,0.053,0.188,0.639,1.377,0.480
Reservoir,28061,0.46,136.5,28.6,1,6440,20.95,WR,13.82,47.18,-0.073,0.173,0.64,0.763,0.566
Reservoir,28067,0.64,1174,153.4,4,52440,13.07,WR,49.81,44.67,0.011,0.139,0.478,1.432,0.498
Reservoir,28080,0.69,795.4,45.7,1,1921,5.75,WR,1.76,2.42,0.506,0.222,0.791,0.622,0.697
Reservoir,28085,0.63,1052.5,153.4,4,52440,14.57,WR,31.51,49.82,-0.018,0.159,0.446,1.059,0.486
Reservoir,31004,0.51,712.6,130.5,2,132096,18.31,WR,24.49,185.37,0.029,0.072,0.664,0.718,0.359
Reservoir,31006,0.84,148.8,73.6,1,124000,49.46,WR,20.05,833.33,0.006,0.178,0.704,1.223,0.559
Reservoir,37013,0.36,74.4,12.9,1,27721,17.34,WR,7.94,372.59,0.125,0.183,0.696,1.143,0.240
Reservoir,40003,0.4,1261,52.8,3,47041,4.19,WR,30.1,37.3,0.033,0.224,0.726,1.236,0.327
Reservoir,40004,0.35,204.7,8.4,1,4730,4.1,WR,8.03,23.11,-0.009,0.22,0.671,1.227,0.281
Reservoir,40007,0.48,252.1,26.1,1,5623,10.35,WR,17.76,22.3,0.021,0.124,0.568,1.157,0.376
Reservoir,40009,0.46,134.9,21,1,31400,15.57,WR,7.28,232.77,-0.019,0.161,0.819,0.96,0.666
Reservoir,40010,0.35,224.4,5.7,1,10018,2.54,WR,6.19,44.64,-0.009,0.205,0.767,1.408,0.340
Reservoir,41003,0.27,130,2.1,1,3546,1.62,WR,1.7,27.28,-0.022,0.21,0.732,1.475,0.227
Reservoir,41005,0.5,182.7,21.8,1,5206,11.93,WR,16.82,28.49,0.045,0.198,0.619,0.96,0.406
Reservoir,41024,0.51,22.9,21.8,1,5206,95.2,WR,0.29,227.34,-0.007,0.132,0.591,0.407,0.736
Reservoir,45001,0.51,606.7,29.1,1,21541,4.8,WR,43.61,35.51,0.052,0.158,0.418,1.255,0.462
Reservoir,45002,0.51,420.6,29.1,1,21541,6.92,WR,22.02,51.21,0.031,0.153,0.405,1.329,0.505
Reservoir,45009,0.51,147.8,29.1,1,21541,19.69,WR,6.15,145.74,0.02,0.203,0.509,1.197,0.529
Reservoir,47001,0.46,920.2,30.1,1,36910,3.27,WR,33.96,40.11,0.037,0.15,0.386,1.21,0.419
Reservoir,47008,0.43,112.8,30.1,1,36910,26.68,WR,6.39,327.22,0.007,0.078,0.434,0.988,0.451
Reservoir,48001,0.64,36.8,8,1,3364,21.74,WR,0.76,91.41,0.031,0.104,0.349,1.229,0.586
Reservoir,48007,0.67,26.9,8.7,1,5420,32.34,WR,6.21,201.49,-0.175,0.115,0.367,1.423,0.495
Reservoir,48009,0.68,22.9,12.1,1,29100,52.84,WR,7.22,1270.74,-0.041,0.084,0.779,0.251,1.002
Reservoir,48011,0.62,167.2,20.1,2,32464,12.02,WR,20.46,194.16,-0.057,0.156,0.306,1.016,0.496
Reservoir,50002,0.39,664.1,16.6,1,3170,2.5,WR,48.34,4.77,0.036,0.124,0.43,1.343,0.402
Reservoir,52005,0.6,201.1,18,1,5364,8.95,WR,32.04,26.67,0.002,0.139,0.361,0.909,0.421
Reservoir,52006,0.42,216.4,29.7,1,2600,13.72,WR,7.3,12.01,-0.008,0.175,0.491,1.707,0.340
Reservoir,52014,0.58,57.7,18,1,5364,31.2,WR,14.99,92.96,-0.076,0.15,0.364,1.197,0.377
Reservoir,53004,0.62,129.1,75.4,2,20500,58.4,WR,11.49,158.79,-0.191,0.21,0.61,0.825,0.436
Reservoir,54001,0.53,4329.6,123.2,3,111743,2.85,WR,16.61,25.81,-0.001,0.182,0.375,0.922,0.409
Reservoir,54003,0.36,73.9,73.9,1,59852,100,WR,0.05,809.91,-0.318,0.357,0.906,1.627,0.515
Reservoir,54005,0.48,2027,122.9,2,108680,6.06,WR,72.21,53.62,0.004,0.182,0.431,1.275,0.457
Reservoir,54014,0.44,574,49,1,48828,8.54,WR,45.19,85.07,0.003,0.146,0.493,1.203,0.505
Reservoir,54028,0.44,779.2,73.9,1,59852,9.48,WR,46.88,76.81,-0.009,0.129,0.429,1.234,0.480
Reservoir,54032,0.57,6863.4,123.2,3,111743,1.8,WR,66.68,16.28,0.023,0.183,0.362,1.047,0.391
Reservoir,54057,0.57,9868.4,123.2,3,111743,1.25,WR,81.14,11.32,0.048,0.163,0.401,1.113,0.381
Reservoir,54080,0.44,174.4,49,1,48828,28.1,WR,11.3,279.98,-0.009,0.104,0.569,0.899,0.710
Reservoir,54081,0.48,49.1,49,1,48828,99.8,WR,0.14,994.46,-0.008,0.23,0.473,0.77,1.144
Reservoir,55002,0.46,1895,183.4,5,100692,9.68,WR,114.44,53.14,0.054,0.125,0.463,1.263,0.510
Reservoir,55007,0.41,1283.4,183.4,5,100692,14.29,WR,40.01,78.46,0.002,0.164,0.501,1.218,0.500
Reservoir,55023,0.54,4017,183.4,5,100692,4.57,WR,201.74,25.07,0.041,0.117,0.354,1.28,0.426
Reservoir,55032,0.33,183.8,183.4,5,100692,99.78,WR,0.14,547.83,-0.288,0.327,0.919,1.436,0.458
Reservoir,56001,0.5,915.2,46.9,3,27183,5.12,WR,45.16,29.7,0.062,0.125,0.428,1.227,0.508
Reservoir,57005,0.46,456.3,71.3,4,16088,15.63,WR,30.59,35.26,0.012,0.162,0.638,1.197,0.618
Reservoir,57007,0.46,194.3,71.3,4,16088,36.7,WR,22.73,82.8,-0.094,0.195,0.651,1.313,0.580
Reservoir,57015,0.38,110.2,71.3,4,16088,64.7,WR,7.46,145.99,-0.205,0.268,0.802,1.237,0.575
Reservoir,58002,0.35,191,9.7,1,3277,5.08,WR,24.79,17.16,0.058,0.136,0.667,1.102,0.667
Reservoir,58006,0.36,65.1,9.7,1,3277,14.9,WR,11.42,50.34,0.021,0.172,0.689,1.127,0.682
Reservoir,60007,0.44,220.3,87.3,1,32882,39.63,WR,19.24,149.26,0.123,0.224,0.675,0.963,0.665
Reservoir,60010,0.46,1091.3,87.3,1,32882,8,WR,72.48,30.13,0.042,0.122,0.446,1.179,0.564
Reservoir,65006,0.41,80.3,24.1,1,1870,30.01,H,12.86,23.29,0.083,0.104,0.615,1.194,0.723
Reservoir,65007,0.38,51.4,3.7,1,2902,7.2,WR,7.65,56.46,0.032,0.086,0.624,1.124,0.724
Reservoir,66011,0.28,339.9,2.3,1,1776,0.68,WR,19.91,5.23,0.067,0.106,0.71,1.223,0.678
Reservoir,67001,0.51,262.8,209.5,2,147710,79.72,WR,1.16,562.06,0.056,0.174,0.599,0.941,0.801
Reservoir,67003,0.42,23.4,19.8,1,54273,84.62,WR,0.85,2319.36,-0.001,0.25,0.895,0.027,1.147
Reservoir,67006,0.48,185.5,43.3,2,69027,23.34,WR,17.63,372.11,-0.004,0.121,0.462,1.146,0.531
Reservoir,67015,0.53,1009.6,252.8,4,216737,25.04,WR,68.22,214.68,0.022,0.244,0.526,0.941,0.592
Reservoir,67017,0.42,60.1,59.9,1,40959,99.67,WR,0.14,681.51,0.158,0.318,0.638,0.186,1.245
Reservoir,69002,0.5,556,53.6,7,21505,9.64,WR,23.34,38.68,0.139,0.22,0.765,0.948,0.657
Reservoir,69007,0.54,643.5,121.6,8,32624,18.9,WR,46.41,50.7,0.026,0.145,0.596,1.269,0.587
Reservoir,69008,0.51,58.9,3.1,1,1932,5.26,WR,19.23,32.8,-0.027,0.086,0.41,1.246,0.486
